Rank,Name,Walk Score,Transit Score,Bike Score,Population
131,Somerset,30,56,59,"8,635"
132,Cedarbrae,30,37,59,"6,163"
133,Patterson,30,41,43,"4,168"
134,Beddington Heights,30,55,41,"11,588"
135,Lakeview,30,45,59,"5,399"
136,Mahogany,29,40,60,664
137,Christie Park,28,63,48,"2,133"
138,Skyview Ranch,28,35,33,"2,011"
139,Millrise,28,48,65,"6,926"
140,Silver Springs,27,46,35,"9,340"
141,Kincora,27,42,28,"4,918"
142,Cranston,27,39,60,"10,088"
143,Auburn Bay,27,40,46,"5,831"
144,Coral Springs,27,44,35,"6,004"
145,Scenic Acres,26,53,31,"8,345"
146,Evanston,26,40,29,"6,344"
147,Parkland,25,34,57,"3,559"
148,Monterey Park,25,40,38,"9,454"
149,Rocky Ridge,25,39,36,"7,669"
150,Edgemont,25,40,29,"16,361"
151,Applewood Park,25,48,28,"5,368"
152,North Haven,24,46,36,"2,249"
153,Coventry Hills,24,41,35,"13,830"
154,Douglasdale/glen,24,42,59,"11,874"
155,Parkdale,24,55,62,"2,329"
156,Copperfield,24,36,59,"5,650"
157,Tuscany,23,40,33,"18,300"
158,Chaparral,23,34,56,"10,932"
159,Royal Oak,23,44,35,"10,880"
160,Erin Woods,23,43,26,"6,494"
161,Evergreen,22,36,59,"16,004"
162,Springbank Hill,22,43,36,"8,499"
163,Bonavista Downs,22,33,52,"1,017"
164,Deer Run,21,32,58,"4,379"
165,North Haven Upper,20,45,37,694
166,Maple Ridge,19,32,50,"2,070"
167,Sherwood,19,40,38,"1,726"
168,Mckenzie Lake,19,38,56,"13,001"
169,Glenmore Park,18,37,50,951
170,Sundance,18,45,47,"10,634"
171,Hamptons,18,41,23,"7,949"
172,Citadel,18,40,37,"9,478"
173,Point Mckay,17,51,63,"1,290"
174,Cougar Ridge,17,38,46,"4,943"
175,Sandstone Valley,16,45,26,"6,393"
176,Macewan Glen,15,39,24,"5,152"
177,Greenwood/greenbriar,14,41,19,"1,052"
178,Shawnee Slopes,14,49,53,"1,380"
179,Hidden Valley,11,44,23,"11,499"
180,Valley Ridge,11,28,20,"4,726"
181,Sage Hill,10,37,27,"1,526"
182,Diamond Cove,9,35,52,751
183,Fish Creek Park,9,36,47,"6,933"
184,Discovery Ridge,7,29,17,"4,185"
185,Crestmont,2,28,18,"1,136"
